Bedrooms,Area,Location,Age,Price
1,550,Mumbai,15,6200000
1,650,Pune,10,4800000
2,750,Mumbai,12,8200000
2,850,Pune,8,6100000
2,900,Mumbai,5,9800000
2,1000,Pune,6,7200000
3,1050,Mumbai,10,11200000
3,1100,Pune,7,8200000
3,1200,Mumbai,5,13200000
3,1250,Pune,4,9400000
3,1300,Mumbai,8,13800000
3,1350,Pune,12,9000000
4,1500,Mumbai,5,18000000
4,1600,Pune,7,12000000
4,1700,Mumbai,3,20500000
4,1800,Pune,5,13500000
4,1900,Mumbai,10,19800000
4,2000,Pune,8,14500000
5,2200,Mumbai,4,26000000
5,2400,Pune,6,17500000
1,600,Mumbai,8,6800000
1,700,Pune,5,5200000
2,800,Mumbai,15,7900000
2,900,Pune,12,6500000
2,950,Mumbai,10,9400000
2,1050,Pune,9,7500000
3,1000,Mumbai,12,10800000
3,1150,Pune,10,8400000
3,1250,Mumbai,7,12800000
3,1400,Pune,5,10200000
3,1450,Mumbai,4,15100000
3,1500,Pune,3,11000000
4,1550,Mumbai,8,17600000
4,1650,Pune,10,11800000
4,1750,Mumbai,6,19200000
4,1850,Pune,4,14200000
4,1950,Mumbai,12,18500000
4,2100,Pune,9,15300000
5,2300,Mumbai,7,25000000
5,2500,Pune,5,18400000
1,500,Mumbai,20,5700000
1,720,Pune,15,5000000
2,780,Mumbai,18,7600000
2,880,Pune,14,6200000
2,980,Mumbai,7,10100000
2,1100,Pune,5,7900000
3,1080,Mumbai,15,10900000
3,1180,Pune,12,8500000
3,1280,Mumbai,9,13000000
3,1380,Pune,8,9900000
3,1480,Mumbai,6,14600000
3,1550,Pune,6,11300000
4,1520,Mumbai,9,17100000
4,1680,Pune,12,11500000
4,1780,Mumbai,7,18800000
4,1880,Pune,8,13700000
4,1980,Mumbai,5,20200000
4,2150,Pune,7,15800000
5,2250,Mumbai,10,24200000
5,2450,Pune,9,18100000
1,580,Mumbai,12,6400000
1,680,Pune,11,4900000
2,820,Mumbai,9,8500000
2,920,Pune,7,6800000
2,1020,Mumbai,4,10300000
2,1080,Pune,3,8000000
3,1020,Mumbai,11,10700000
3,1160,Pune,9,8600000
3,1260,Mumbai,6,12900000
3,1320,Pune,5,9700000
3,1420,Mumbai,3,14900000
3,1520,Pune,4,11100000
4,1580,Mumbai,6,18100000
4,1720,Pune,9,12100000
4,1820,Mumbai,4,19500000
4,1920,Pune,6,14000000
4,2050,Mumbai,8,19400000
4,2200,Pune,5,16400000
5,2350,Mumbai,5,25800000
5,2550,Pune,7,18800000
1,620,Mumbai,18,6000000
1,740,Pune,13,5300000
2,860,Mumbai,14,8100000
2,940,Pune,10,6900000
2,1040,Mumbai,6,10500000
2,1120,Pune,4,8200000
3,1060,Mumbai,13,11000000
3,1190,Pune,11,8800000
3,1290,Mumbai,8,13200000
3,1360,Pune,7,10000000
3,1460,Mumbai,5,15300000
3,1580,Pune,3,11600000
4,1620,Mumbai,7,18400000
4,1760,Pune,11,12500000
4,1860,Mumbai,5,19900000
4,1960,Pune,7,14500000
4,2080,Mumbai,6,20100000
4,2250,Pune,4,16800000
5,2400,Mumbai,6,26500000
5,2600,Pune,5,19300000
